"Valor personalizado 1","Valor personalizado 2","Valor Personalizado 3","Valor Personalizado 4",Produto,Observações,Custo,"Preço ",Quantidade,"Taxa de imposto 1","Taxa de imposto 2","Taxa de imposto 3","Imposto 1","Imposto 2","Imposto 3",Imagem,"Categoria Fiscal","Quantidade máxima","Quantidade em estoque"
,,,,"Reserva de Nome e Certidão Definitiva","Exclusive registration of the company name with the Commercial Registry and issuance of the Definitive Certificate of Existence and Legal Status",0,"8.000,00","1,00",0,0,0,,,,,2,0,0
,,,,"Elaboração de Contrato Social e Registro","Preparation and official registration of the company’s Articles of Association (statutes), defining its structure and operational rules.",0,"10.000,00","1,00",0,0,0,,,,,2,0,0
,,,,"Assistência em Licenciamento","Full support in the licensing process with competent authorities (BAU, Ministry of Transport, Ministry of Health, AT, etc.).",0,"10.000,00","1,00",0,0,0,,,,,2,0,0
,,,,"Obtenção do NUIT","Assistance and follow-up with the Tax Authority (AT) for the issuance of the Unique Taxpayer Identification Number (NUIT).",0,"4.700,00","1,00",0,0,0,,,,,2,0,0
,,,,"Início de Atividades junto à AT","rocedures to notify the start of business activities, obtain activity license, and complete initial tax registration.",0,"7.000,00","1,00",0,0,0,,,,,2,0,0
,,,,"Inscrição na Segurança Social","Registration of the company and its partners with Social Security, ensuring compliance with social and labor regulations.",0,"4.000,00","1,00",0,0,0,,,,,2,0,0
,,,,"Registro de Marca","Pedido e tramitação do registro de marca junto ao Instituto da Propriedade Industrial de Moçambique, com acompanhamento até concessão do certificado.",0,"8.000,00","1,00",0,0,0,,,,,2,0,0
,,,,"Criação de Conta Bancária","Facilitation and support in opening a corporate bank account, essential for the company’s financial operations.",0,"5.000,00","1,00",0,0,0,,,,,2,0,0
,,,,"Lançamento Contabilístico","Registro de todas as transações financeiras (receitas, despesas, transferências) no sistema.",0,"500,00","1,00",0,0,0,,,,,2,0,0
,,,,"Conciliação Bancária","Conciliação de extratos bancários versus lançamentos para garantir que tudo esteja registrado.",0,"800,00","1,00",0,0,0,,,,,2,0,0
,,,,"Apuração e Declaração do IVA","Cálculo do IVA devido, preenchimento da guia e envio à Autoridade Tributária.",0,"1.200,00","1,00",0,0,0,,,,,2,0,0
,,,,"Fechamento Contabilístico Mensal","Fechamento de mês: conferência de saldos, provisões, ajustes e emissão de relatório mensal.",0,"1.500,00","1,00",0,0,0,,,,,2,0,0
,,,,"Preparação de Demonstrações Contabilísticas","Elaboração de Balanço Patrimonial e DRE (Demonstração de Resultados) com base nos lançamentos.",0,"2.000,00","1,00",0,0,0,,,,,2,0,0
,,,,"Folha de Pagamento e Encargos Contabilísticos","Processamento de salários, cálculos de encargos sociais e obrigações trabalhistas.",0,"2.500,00","1,00",0,0,0,,,,,2,0,0
,,,,"Planeamento Orçamental Contabilístico","Criação e monitoramento de orçamento anual, com projeções de receita e despesa.",0,"1.500,00","1,00",0,0,0,,,,,2,0,0
,,,,"Relatórios Gerenciais Contabilísticos","Geração de relatórios customizados (fluxo de caixa, indicadores financeiros, KPIs).",0,"1.200,00","1,00",0,0,0,,,,,2,0,0
,,,,"Declaração Anual de IRPC","Preparação e submissão da declaração de Imposto de Rendimento de Pessoas Colectivas.",0,"3.000,00","1,00",0,0,0,,,,,2,0,0
,,,,"Suporte à Auditoria Contabilística","Apoio técnico e fornecimento de documentos para auditoria interna ou externa.",0,"1.800,00","1,00",0,0,0,,,,,2,0,0
1,,,,"Plano Básico - Faturação","Acesso a até 30 documentos (faturas, orçamentos e recibos), registo de clientes/produtos, relatórios essenciais e suporte por email — 100% certificado pela AT.",0,"349,00","0,00",0,0,0,,,,,3,0,0
1,,,,"Plano Profissional - Faturação","Documentos ilimitados, automação de lembretes de pagamento, relatórios em tempo real, gestão integrada de despesas e fornecedores, multiusuários (até 4) e acesso à API — suporte Email + WhatsApp.",0,0,"0,00",0,0,0,,,,,3,0,0
1,,,,"Plano Premium - Faturação","Tudo do Profissional + portal do cliente completo, multiusuários (até 100), gestão projectos e tarefas, relatórios avançados customizáveis, suporte premium com linha direta e 100% certificado pela AT.",0,"999,00","0,00",0,0,0,,,,,3,0,0
1,,,,"Treinamento Básico - Faturação","Sessão de 1 hora de capacitação personalizada para uso do software de faturação MozEconomia PRO.",0,0,"0,00",0,0,0,,,,,2,0,0
,,,,"Taxas e Emolumentos Governamentais","Payment of official fees required by the Commercial Registry, Tax Authority, and other public entities during the company incorporation process.",0,"20.000,00","1,00",0,0,0,,,,,1,0,0
