Warehouse,Armazém
UOM,Unidade de Medida
Unit of Measure,Unidade de Medida
Employee,Funcionário
Payroll,Folha de Pagamento
Salary Slip,Recibo de Salário
Letter Head,Papel Timbrado
Print Heading,Cabeçalho de Documento
Print Format,Formato de Impressão
Naming Series,Séries de Numeração
Workflow,Fluxo de Trabalho
User Permissions,Permissões do Utilizador
Sales Invoice,Fatura
Sales Invoices,Faturas
Purchase Invoice,Fatura de Compra
Payment Entry,Recibo
Delivery Note,Guia de Remessa
Sales Order,Ordem de Venda
Quotation,Cotação
Credit Note,Nota de Crédito
Debit Note,Nota de Débito
Customer,Cliente
Supplier,Fornecedor
Tax,Imposto
Tax Category,Categoria Fiscal
Item Tax Template,Modelo de Imposto do Artigo
Sales Taxes and Charges Template,Modelo de Impostos de Vendas
Purchase Taxes and Charges Template,Modelo de Impostos de Compras
Income Tax Slab,Tabela de IRPS
Financial Year Begins On,Início do Ano Fiscal
Setup your organization,Configure a sua organização
Company,Empresa
Duties,Direitos
Duties and Taxes,Direitos e Impostos
Tax ID,NUIT
Series,Série
Is Return,É Devolução
Return,Devolução
Reference Invoice,Fatura de Referência
Item,Artigo
Items,Artigos
Item Category,Categoria de Artigos
Item Group,Grupo de Artigos
Item Price List,Lista de Preços de Artigos
Price List,Lista de Preços
Item Price,Preço do Artigo
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,"Uma lista de recursos que o aplicativo cliente terá acesso a depois que o usuário permita. <br> por exemplo, do projeto"
A symbol for this currency. For e.g. $,Um símbolo para esta moeda. Por exemplo: MT
ALL,Tudo
API Access,Acesso API
API Key,Chave da API
API Method,Método API
API Secret,Segredo da API
Accepted,Aceito
Account,Conta
Accounts Manager,Gerente de Contas
Accounts User,Usuário de Contas
Action,Ação
Action / Route,Ação / Rota
Action Timeout (Seconds),Tempo Limite de Ação (Segundos)
Actions,Ações
Active,Ativo
Active Domains,Domínios ativos
Activity,Atividade
Add,Adicionar
Add Child,Adicionar Sub-item
Add Container,Adicionar recipiente
Add Gray Background,Adicionar fundo cinza
Add Multiple,Adicionar Múltiplos
Add Participants,Adicione Participantes
Add Total Row,Adicionar Linha de Total
Add Translate Data,Adicionar Dados Traduzidos
Add Unsubscribe Link,Adicionar link para cancelar inscrição
Added {0} ({1}),Adicionado {0} ({1})
Additional Permissions,Permissões Adicionais
Address,Endereço
Address Title,Título do Endereço
Address and other legal information you may want to put in the footer.,Endereço e outras informações legais que você pode querer colocar no rodapé.
Administrator,Administrador
Advanced Settings,Configurações avançadas
After Cancel,Após Cancelar
After Delete,Após Excluir
After Save,Após salvar
After Save (Submitted Document),Após salvar (documento enviado)
After Submit,Após o envio
Aggregate Function Based On,Função agregada com base em
Alert,Alerta
